need_treatment,rdisc_DESPOT,rdisc_ExpertDSA,rdisc_ExpertHOSP,rdisc_POMCP,rdisc_Random,time2recover_DESPOT,time2recover_ExpertDSA,time2recover_ExpertHOSP,time2recover_POMCP,time2recover_Random,treated_DESPOT,treated_ExpertDSA,treated_ExpertHOSP,treated_POMCP,treated_Random
false,3320.7482291738265,3850.0,4250.0,-6246.125000000001,2437.5937499999995,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
true,5787.6006718749995,9172.5,8716.375,3872.5,-14952.922225781249,3.0,2.0,3.0,2.0,5.0,true,true,true,true,true
true,-36543.08679148885,8154.93125,6684.337305468747,-48500.0,-46030.0,24.0,4.0,7.0,24.0,24.0,false,true,true,false,false
false,4321.342812499999,3850.0,3537.5,-450.0,-13225.791996527052,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
true,7666.374999999999,9172.5,8445.625,-52700.0,2468.874999999999,3.0,2.0,2.0,24.0,3.0,true,true,true,false,true
true,11031.684687499997,13278.875,11484.731703124997,-50000.0,-50000.0,5.0,3.0,6.0,24.0,24.0,true,true,true,false,false
true,7084.511293867186,7827.893749999999,708.0109756612269,-50000.0,-52700.0,3.0,3.0,24.0,24.0,24.0,true,true,false,false,false
false,3389.8736904792577,3850.0,4250.0,5000.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,2757.5,4250.0,4250.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4002.124999999999,3850.0,3537.5,5000.0,-592.5,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4205.275671874999,3850.0,4250.0,4850.0,-327.5,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4205.275671874999,3850.0,4250.0,5000.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,-1327.5,4250.0,4850.0,3850.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4205.275671874999,3850.0,4250.0,3850.0,-1761.125000000001,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4707.5,3850.0,4250.0,5000.0,-5627.5,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4707.5,3850.0,4250.0,5000.0,-450.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4205.275671874999,2757.5,4250.0,4850.0,-39157.083298983256,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,4250.0,-450.0,-34958.78879147819,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4443.518749999999,3850.0,4250.0,5000.0,-15628.2153125,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,4250.0,4250.0,-36440.33133062857,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
