need_treatment,rdisc_DESPOT,rdisc_ExpertDSA,rdisc_ExpertHOSP,rdisc_POMCP,rdisc_Random,time2recover_DESPOT,time2recover_ExpertDSA,time2recover_ExpertHOSP,time2recover_POMCP,time2recover_Random,treated_DESPOT,treated_ExpertDSA,treated_ExpertHOSP,treated_POMCP,treated_Random
false,4002.124999999999,3850.0,4250.0,5000.0,-37482.60251144825,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3560.309687499999,3850.0,4250.0,5000.0,5000.0,5.0,24.0,24.0,24.0,24.0,true,false,false,false,false
false,4321.342812499999,3850.0,4250.0,5000.0,4850.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3873.5187499999997,3850.0,4250.0,-327.5,-19994.233921874995,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4205.275671874999,3850.0,4250.0,5000.0,-28775.46936874941,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,3850.0,2860.624999999999,5000.0,-18673.070913494943,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4443.518749999999,3850.0,4250.0,4850.0,-7308.40625,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
true,7666.374999999999,8813.875,7191.714062499999,-50000.0,-10825.817212240767,3.0,3.0,2.0,24.0,14.0,true,true,true,false,true
false,4137.5,-1327.5,4250.0,-1327.5,-10289.357046874999,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,4250.0,4250.0,-7447.4653124999995,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4205.275671874999,3850.0,4250.0,5000.0,3022.124999999999,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,3850.0,4250.0,5000.0,-49174.080352967394,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,3850.0,4250.0,-450.0,-12122.707214843753,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
true,7084.511293867186,8813.875,3728.874999999999,3778.874999999999,-48500.0,3.0,3.0,3.0,3.0,24.0,true,true,true,true,false
true,7537.768749999999,9172.5,3592.431249999999,-50000.0,-47400.0,3.0,2.0,4.0,24.0,24.0,true,true,true,false,false
false,3332.0187499999993,-1327.5,4250.0,4250.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,3850.0,4250.0,5000.0,-33597.897975039334,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,4250.0,4707.5,-14060.397225781251,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,3850.0,4250.0,5000.0,-15910.085148154005,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3902.0187499999997,3850.0,4250.0,4707.5,-1462.875000000001,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4707.5,3850.0,4250.0,4850.0,-15635.88910078125,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4443.518749999999,3850.0,4250.0,-450.0,-26862.335289222177,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
